date,site,Borough,Pathway,NMCTR external delay,Total external delay days
22/06/2024,UHL,Lewisham,Pathway 2,4,66
22/06/2024,UHL,Lewisham,Pathway 3,13,226
22/06/2024,UHL,Other,Pathway 1,2,13
22/06/2024,UHL,Other,Pathway 3,1,19
23/06/2024,QEH,Bexley,Pathway 0,3,10
23/06/2024,QEH,Bexley,Pathway 1,7,54
23/06/2024,QEH,Bexley,Pathway 2,10,67
23/06/2024,QEH,Bexley,Pathway 3,4,64
23/06/2024,QEH,Greenwich,Pathway 0,3,13
23/06/2024,QEH,Greenwich,Pathway 1,9,74
23/06/2024,QEH,Greenwich,Pathway 2,13,129
23/06/2024,QEH,Greenwich,Pathway 3,7,107
23/06/2024,QEH,Lewisham,Pathway 0,1,4
23/06/2024,QEH,Other,Pathway 0,1,15
23/06/2024,QEH,Other,Pathway 2,3,60
23/06/2024,QEH,Other,Pathway 3,1,11
23/06/2024,UHL,Bexley,Pathway 3,3,58
23/06/2024,UHL,Greenwich,Pathway 0,2,9
23/06/2024,UHL,Greenwich,Pathway 1,3,29
23/06/2024,UHL,Greenwich,Pathway 3,4,73
23/06/2024,UHL,Lewisham,Pathway 0,5,34
23/06/2024,UHL,Lewisham,Pathway 1,11,111
23/06/2024,UHL,Lewisham,Pathway 2,3,60
23/06/2024,UHL,Lewisham,Pathway 3,13,239
23/06/2024,UHL,Other,Pathway 1,2,15
23/06/2024,UHL,Other,Pathway 3,1,20
24/06/2024,QEH,Bexley,Pathway 0,6,17
24/06/2024,QEH,Bexley,Pathway 1,4,23
24/06/2024,QEH,Bexley,Pathway 2,6,62
24/06/2024,QEH,Bexley,Pathway 3,2,27
24/06/2024,QEH,Greenwich,Pathway 1,11,52
24/06/2024,QEH,Greenwich,Pathway 2,9,83
24/06/2024,QEH,Greenwich,Pathway 3,7,106
24/06/2024,QEH,Lewisham,Pathway 0,1,5
24/06/2024,QEH,Other,Pathway 0,3,18
24/06/2024,QEH,Other,Pathway 2,3,63
24/06/2024,UHL,Bexley,Pathway 3,3,61
24/06/2024,UHL,Greenwich,Pathway 0,1,5
24/06/2024,UHL,Greenwich,Pathway 1,3,13
24/06/2024,UHL,Greenwich,Pathway 3,2,43
24/06/2024,UHL,Lewisham,Pathway 0,5,36
24/06/2024,UHL,Lewisham,Pathway 1,12,109
24/06/2024,UHL,Lewisham,Pathway 2,5,65
24/06/2024,UHL,Lewisham,Pathway 3,15,266
24/06/2024,UHL,Other,Pathway 0,1,1
24/06/2024,UHL,Other,Pathway 1,3,18
24/06/2024,UHL,Other,Pathway 2,1,1
24/06/2024,UHL,Other,Pathway 3,1,21
25/06/2024,QEH,Bexley,Pathway 0,7,15
25/06/2024,QEH,Bexley,Pathway 1,3,23
25/06/2024,QEH,Bexley,Pathway 2,8,56
25/06/2024,QEH,Bexley,Pathway 3,1,22
25/06/2024,QEH,Greenwich,Pathway 0,5,5
25/06/2024,QEH,Greenwich,Pathway 1,13,62
25/06/2024,QEH,Greenwich,Pathway 2,10,110
25/06/2024,QEH,Greenwich,Pathway 3,7,113
25/06/2024,QEH,Lewisham,Pathway 0,1,6
25/06/2024,QEH,Lewisham,Pathway 2,1,1
25/06/2024,QEH,Other,Pathway 0,1,17
